vlname;netwadd;mask;gw;range_start;range_end;broadcast;wildcard
252;10.0.3.64;255.255.255.240;10.0.3.65/28;10.0.3.65;10.0.3.78;10.0.3.79;0.0.0.15
253;10.0.3.80;255.255.255.240;10.0.3.81/28;10.0.3.81;10.0.3.94;10.0.3.95;0.0.0.15
254;10.0.3.96;255.255.255.240;10.0.3.97/28;10.0.3.97;10.0.3.110;10.0.3.111;0.0.0.15
255;10.0.3.112;255.255.255.240;10.0.3.113/28;10.0.3.113;10.0.3.126;10.0.3.127;0.0.0.15
256;10.0.3.128;255.255.255.240;10.0.3.129/28;10.0.3.129;10.0.3.142;10.0.3.143;0.0.0.15
257;10.0.3.144;255.255.255.240;10.0.3.145/28;10.0.3.145;10.0.3.158;10.0.3.159;0.0.0.15
258;10.0.3.160;255.255.255.240;10.0.3.161/28;10.0.3.161;10.0.3.174;10.0.3.175;0.0.0.15
259;10.0.3.176;255.255.255.240;10.0.3.177/28;10.0.3.177;10.0.3.190;10.0.3.191;0.0.0.15
260;10.0.3.192;255.255.255.240;10.0.3.193/28;10.0.3.193;10.0.3.206;10.0.3.207;0.0.0.15
261;10.0.3.208;255.255.255.240;10.0.3.209/28;10.0.3.209;10.0.3.222;10.0.3.223;0.0.0.15
262;10.0.3.224;255.255.255.240;10.0.3.225/28;10.0.3.225;10.0.3.238;10.0.3.239;0.0.0.15
263;10.0.3.240;255.255.255.240;10.0.3.241/28;10.0.3.241;10.0.3.254;10.0.3.255;0.0.0.15
264;10.0.4.0;255.255.255.240;10.0.4.1/28;10.0.4.1;10.0.4.14;10.0.4.15;0.0.0.15
265;10.0.4.16;255.255.255.240;10.0.4.17/28;10.0.4.17;10.0.4.30;10.0.4.31;0.0.0.15
266;10.0.4.32;255.255.255.240;10.0.4.33/28;10.0.4.33;10.0.4.46;10.0.4.47;0.0.0.15
267;10.0.4.48;255.255.255.240;10.0.4.49/28;10.0.4.49;10.0.4.62;10.0.4.63;0.0.0.15
268;10.0.4.64;255.255.255.240;10.0.4.65/28;10.0.4.65;10.0.4.78;10.0.4.79;0.0.0.15
